match_id,home_team,away_team,home_score,away_score,home_xg,away_xg
7555,Poland,Colombia,0,3,1.114197838,1.3869427573
7576,Portugal,Spain,3,3,1.4345957889999998,1.6609466705
7565,Serbia,Brazil,0,2,0.948319461,1.419809182
7551,Germany,Sweden,2,1,1.318084832,0.8151666949999999
7537,Tunisia,England,1,2,0.945653212,2.626449745
7580,France,Argentina,4,3,1.6380270319999999,1.446559447
7581,Croatia,Denmark,1,1,6.087735598,4.613994755
7549,Nigeria,Iceland,2,0,1.312159326,1.552161967
7529,Croatia,Nigeria,2,0,1.6944666339999999,0.7623215977
7562,Australia,Peru,0,2,1.629269625,0.3363750876
7571,Senegal,Colombia,0,1,0.360865074,0.28486186999999996
7568,Switzerland,Costa Rica,2,2,1.2196792517,1.576212685
7530,France,Australia,2,1,1.561557064,0.9800310619999999
7558,Uruguay,Russia,3,0,2.4825809298,0.180184531
7583,Brazil,Mexico,2,0,3.320421268,0.58279982
7547,Denmark,Australia,1,1,1.014444774,1.412191891
7535,Costa Rica,Serbia,0,1,0.5960217237000001,1.992569004
8649,Uruguay,France,0,2,0.693195278,0.5387829577000001
8658,France,Croatia,4,2,1.097963608,1.4802876897
7582,Spain,Russia,1,1,5.358603154,4.5404268089999995
7552,Belgium,Tunisia,5,2,5.336422205,1.1881780826
7532,Peru,Denmark,0,1,1.926378192,1.1215676380000001
7560,Spain,Morocco,2,2,2.6044931,1.071760675
7533,Brazil,Switzerland,1,1,1.866589794,0.4721066513
7564,Nigeria,Argentina,1,2,1.3053451809999999,0.850559859
7579,Uruguay,Portugal,2,1,0.476007941,0.9955767281
7577,Morocco,Iran,0,1,1.0591950265,0.6975558777
7525,Russia,Saudi Arabia,5,0,1.281600942,0.24880649999999999
7566,Mexico,Sweden,0,3,1.6107035277,2.790486815
8651,Sweden,England,0,2,0.834186639,0.75823599
7567,South Korea,Germany,2,0,1.774630282,2.706400562
7541,Colombia,Japan,1,2,0.806256029,2.32067396
8655,France,Belgium,1,0,1.681686764,0.566868294
8657,Belgium,England,2,0,1.32065846,1.335356625
8652,Russia,Croatia,2,2,4.988439122,5.567974576
7563,Denmark,France,0,0,0.13895808480000002,0.418140495
7556,Japan,Senegal,2,2,0.982192996,1.878264293
7559,Saudi Arabia,Egypt,2,1,2.545815476,0.92372594
